Seas Type,Zone,Unit Name,Season/Tag/Hunt,Total Hunters,Does,Total Bucks,Spikes,Forks,3 Points,4 Point +,Harvest Total,Success (%)
Controlled,Northwest,McKenzie,119A High Cascade,317,2,20,0,9,5,6,22,7
Controlled,Northwest,Santiam,119A High Cascade,728,4,80,0,19,26,35,84,12
Controlled,Southwest,Dixon,119A High Cascade,63,0,4,0,2,0,2,4,6
Controlled,Southwest,Indigo,119A High Cascade,85,2,2,0,0,0,2,4,5
Controlled,Southwest,Melrose,123A Umpqua,41,1,17,0,2,3,12,18,44
Controlled,Southwest,Melrose,123B N Bank Habitat,8,0,5,0,3,0,2,5,63
Controlled,Southwest,Rogue,119A High Cascade,97,0,9,0,4,5,0,9,9
Controlled,South Central,Fort Rock,119A High Cascade,25,0,0,0,0,0,0,0,0
Controlled,South Central,Fort Rock,177 Fort Rock Unit,2218,0,447,27,186,108,126,447,20
Controlled,South Central,Interstate,175 Interstate Unit,1630,0,823,105,308,229,181,823,50
Controlled,South Central,Interstate,175T Interstate Youth,36,1,32,0,1,4,27,33,92
Controlled,South Central,Keno,119A High Cascade,10,0,0,0,0,0,0,0,0
Controlled,South Central,Keno,131 Keno Unit,880,0,277,73,95,64,45,277,31
Controlled,South Central,Klamath Falls,132 Klamath Falls Unit,823,0,332,37,102,88,105,332,40
Controlled,South Central,Silver Lake,176 Silver Lake Unit,1740,0,410,67,179,91,73,410,24
Controlled,South Central,Sprague,133 Sprague Unit,467,0,128,13,66,27,22,128,27
Controlled,Central,Grizzly,138 Grizzly Unit,1226,0,473,30,162,129,152,473,39
Controlled,Central,Maury,136 Maury Unit,384,0,120,13,43,27,37,120,31
Controlled,Central,Metolius,139 Metolius Unit,425,0,157,25,41,36,55,157,37
Controlled,Central,Ochoco,137 Ochoco Unit,2552,0,670,69,284,169,148,670,26
Controlled,Central,Paulina,135 Paulina Unit,1631,0,428,37,191,84,116,428,26
Controlled,Central,Upper Deschutes,134 Upper Deschutes Unit,2224,0,447,47,161,95,144,447,20
Controlled,Columbia,Biggs,143A E Biggs,577,1,322,10,58,107,147,323,56
Controlled,Columbia,Biggs,143B West Biggs,903,6,548,36,116,215,181,554,61
Controlled,Columbia,Hood,141A Hood-White Rvr.,8,0,2,0,0,2,0,2,25
Controlled,Columbia,Hood,142A Hood Unit,471,13,97,20,35,25,17,110,23
Controlled,Columbia,Hood,142B Hood Unit,13,0,4,0,1,1,2,4,31
Controlled,Columbia,Maupin,140 Maupin Unit,419,3,215,15,56,66,78,218,52
Controlled,Columbia,White River,141A Hood-White Rvr.,110,4,31,0,17,7,7,35,32
Controlled,Columbia,White River,141B White Rvr Unit,1826,0,583,82,150,182,169,583,32
Controlled,Columbia,White River,141C White Rvr Unit,15,0,13,0,0,3,10,13,87
Controlled,Columbia,White River,141T The Dallas Watershed,5,0,5,0,0,1,4,5,100
Controlled,Northeast,Beulah,165 Beulah Unit,1859,0,902,68,374,252,208,902,49
Controlled,Northeast,Beulah,165A Se Beulah,467,0,221,18,74,65,64,221,47
Controlled,Northeast,Catherine Creek,153 Catherine Cr Unit,419,0,188,9,63,40,76,188,45
Controlled,Northeast,Chesnimnus,158 Chesnimnus Unit,485,0,239,19,97,57,66,239,49
Controlled,Northeast,Columbia Basin,144 Columbia Basin,1634,14,926,38,233,318,337,940,58
Controlled,Northeast,Desolation,150 Desolation Unit,1055,0,349,43,123,82,101,349,33
Controlled,Northeast,Fossil,145 Fossil Unit,1836,0,744,46,205,228,265,744,41
Controlled,Northeast,Heppner,148 Heppner Unit,2824,0,797,71,286,184,256,797,28
Controlled,Northeast,Imnaha,161 Imnaha Unit,626,0,251,22,79,65,85,251,40
Controlled,Northeast,Keating,163 Keating Unit,508,0,296,15,100,75,106,296,58
Controlled,Northeast,Lookout Mountain,164 Lookout Mt Unit,313,0,197,5,64,54,74,197,63
Controlled,Northeast,Minam,160 Minam Unit,503,0,221,6,61,61,93,221,44
Controlled,Northeast,Mt. Emily,154A E Mt Emily,212,0,102,7,32,22,41,102,48
Controlled,Northeast,Mt. Emily,154B W Mt Emily,465,0,223,7,76,64,76,223,48
Controlled,Northeast,Mt. Emily,154C Mt. Emily,13,0,11,0,2,1,8,11,85
Controlled,Northeast,Murderer's Creek,146 Murderers  Cr Unit,888,0,443,38,186,107,112,443,50
Controlled,Northeast,Northside,147 Northside Unit,1149,0,407,33,143,79,152,407,35
Controlled,Northeast,Pine Creek,162 Pine Cr Unit,348,0,172,14,60,39,59,172,49
Controlled,Northeast,Sled Springs,157 Sled Springs Unit,1615,0,928,74,360,231,263,928,57
Controlled,Northeast,Snake River,159 Snake Rvr Unit,247,0,112,3,33,32,44,112,45
Controlled,Northeast,Starkey,152A Starkey,666,0,177,13,81,33,50,177,27
Controlled,Northeast,Starkey,152B Starkey Exp Forest,22,0,6,1,2,3,0,6,27
