"CHETCO",27,1691.868167395
"DIXON",22,1556.009608914
"EVANS CREEK",29,1041.865962456
"MCKENZIE",19,2644.611067978
"MELROSE",23,959.589507654
"POWERS",26,826.124385718
"ROGUE",30,1463.277269695
"SADDLE MTN",10,904.161464661
"SANTIAM",16,3323.852290336
"SCAPPOOSE",11,749.662925863
"SIXES",25,995.436149681
"TIOGA",24,1547.439889687
"STOTT MTN",17,497.532635015
"TRASK",14,1314.050125581
"WILLAMETTE",15,2882.035513210
"WILSON",12,577.356221727
"BEATYS BUTTE",70,2631.520240257
"BEULAH",65,2742.480914801
"BIGGS",43,1974.217430953
"CHESNIMNUS",58,657.626272079
"COLUMBIA BASIN",44,2831.046732362
"DESOLATION",50,670.514411197
"FOSSIL",45,1409.756153869
"GRIZZLY",38,1686.633460140
"HEPPNER",48,1440.794157601
"HOOD",42,376.232512426
"IMNAHA",61,425.253778452
"INTERSTATE",75,2196.569259654
"JUNIPER",71,2925.371581621
"KEATING",63,607.773971908
"KENO",31,1043.477632882
"KLAMATH FALLS",32,1252.169922009
"LOOKOUT MTN",64,555.757772990
"MALHEUR RIVER",66,2895.068449593
"MAUPIN",40,528.579626967
"MAURY",36,1101.715338782
"METOLIUS",39,667.127755723
"MINAM",60,575.685885804
"MOUNT EMILY",54,769.710663599
"MURDERERS CREEK",46,1149.633285201
"NORTHSIDE",47,1115.418351180
"OCHOCO",37,1607.796681950
"OWYHEE",67,3023.457137013
"PAULINA",35,2176.697905550
"PINE CREEK",62,378.112174436
"FORT ROCK",77,1764.641830273
"SILVER LAKE",76,957.568840562
"SILVIES",72,1791.156474281
"SNAKE RIVER",59,460.010775810
"SPRAGUE",33,775.207234192
"STARKEY",52,807.953596407
"STEENS MTN",69,1913.392661508
"SUMPTER",51,1526.231133117
"UKIAH",49,876.440877694
"UPPER DESCHUTES",34,1402.630735448
"WAGONTIRE",73,3114.011928477
"WARNER",74,923.143027601
"WHITEHORSE",68,4894.746681483
"WALLA WALLA",55,305.955044450
"WENAHA",56,413.160244522
"WHITE RIVER",41,939.661974611
"CRATER LAKE NP",1,285.232401397
"WARM SPRINGS TRIBAL RES",0,1012.261656220
"SLED SPRINGS",57,884.534767966
"CATHERINE CREEK",53,663.613075271
"ALSEA",18,1958.589388541
"SIUSLAW",20,1515.235813016
"INDIGO",21,1941.872157291
"APPLEGATE",28,1325.016596931
